수신일자,수신시간,메일종류,메일제목,첨부
2023-01-01,00:03,스팸,Add These Leaves To Every Drink And Speed Up Weight Loss By 327%,없음
2023-01-01,00:31,스팸,Wire and Cable,없음
2023-01-01,00:38,스팸,Poop Instantly No Matter How Constipated You Are,없음
2023-01-01,02:29,스팸,С Наступающим,"Предложение.docx (18.7 K), Offer.docx (16.8 K), Предложение - контекстная реклама.docx (18.0 K), Offer - contextual advertising.docx (16.2 K)"
2023-01-01,02:42,스팸,"jay, Do not just watch, shop",없음
2023-01-01,03:00,스팸,"(광고) <암진단금+치료비+입원비> 모두 월 **,***원으로 보장 OK : AIA생명 안내",없음
2023-01-01,03:01,스팸,"jjk92, The Coolest Christmas group purchase on Ice.",없음
2023-01-01,03:07,스팸,"jp1409, Christmas day?. It's What's For Dinner.",없음
2023-01-01,06:10,스팸,[발송실패 안내] [ePOST] 우체국쇼핑 회원등급 안내,[ePOST] 우체국쇼핑 회원등급 안내.eml (7.8 K)
2023-01-01,06:11,스팸,[반송] Returned mail: see transcript for details,없음
2023-01-01,07:14,스팸,Returned mail: see transcript for details,없음
2023-01-01,07:19,스팸,[Delivery Failure] 메일 전송 실패,없음
2023-01-01,08:15,스팸,Health Online Order,없음
2023-01-01,08:15,스팸,Confirm Your Order,없음
2023-01-01,08:21,스팸,"(광고) 새해, 독서로 시작하자! 위화 8년 만의 신작 장편소설",없음
2023-01-01,09:02,스팸,[함께누리몰] 비밀번호 변경 안내 메일,없음
2023-01-01,09:42,스팸,LED OUTDOOR LIGHTING,없음
2023-01-01,10:03,스팸,VOL.8_23.01.02_스프링클라우드 뉴스,없음
2023-01-01,10:24,스팸,-+- information about email marketing -+-,없음
2023-01-01,10:35,스팸,[JR_Hokkaido_Free_Wi-Fi] 본 등록 안내,없음
2023-01-01,11:52,스팸,Message Delivery Error,[ePOST] 우체국쇼핑 회원등급 안내.eml (8.7 K)
2023-01-01,13:47,스팸,Proposal,없음
2023-01-01,13:48,스팸,「NH농협카드 표준 전자금융거래 기본약관」 개정 안내,없음
2023-01-01,15:02,스팸,[CGV]개인정보 수집 출처 고지 안내,없음
2023-01-01,15:09,스팸,"Re: popular components of inductors ,transformers",없음
2023-01-01,18:35,스팸,[New Year Sales] Louis Vuitton Bags Up To 87% Off! Shop Online Now!,없음
2023-01-01,18:37,스팸,BONUS: $90 JOHNSON & JOHNSON Gift Card Opportunity,없음
2023-01-01,19:11,스팸,Belly Fat Quiz: How Do You Like Your Coffee?,없음
2023-01-01,19:14,스팸,С Новым Годом,"Предложение.docx (18.7 K), Offer.docx (16.8 K), Предложение - контекстная реклама.docx (18.0 K), Offer - contextual advertising.docx (16.2 K)"
2023-01-01,19:26,스팸,Happy New Year ^0^ Holiday Notice. Re: [인터넷우체국] 스마트접수 접수확인서,없음
2023-01-01,20:53,스팸,ING 신재윤R.LION(0102) - 2023 개편 내용 총정리! 종합 부동산세의 모든 것,없음
2023-01-01,20:57,스팸,Swallow THIS For Balanced Blood Sugar in 10 mins.,없음
2023-01-01,21:53,스팸,"Grab 16,000 woodworking plans here (Open Now)",없음
2023-01-01,21:57,스팸,[New Year Sales] Louis Vuitton Bags Up To 86% Off! Shop Online Now!,없음
2023-01-01,22:22,스팸,An Extra 23% Off These Deals Ends Today,없음
2023-01-01,22:42,스팸,Harvard: Deadly Breakfast Habit Accelerates Dementia by 82%...,없음
2023-01-01,23:02,스팸,[New Year Sales] Louis Vuitton Bags Up To 88% Off! Shop Online Now!,없음
2023-01-01,23:21,스팸,(광고) 아직도 종이책이냐고 물으신다면 [다락편지 1221호],없음
2023-01-01,23:28,스팸,[발송실패안내] ybach1210@nate.com으로 메일이 전송되지 못했습니다.,없음
2023-01-01,23:56,스팸,THIS simple method helps you have better heart health,없음
2023-01-02,01:37,스팸,White Wife Banged By 18 African Hammers?,없음
2023-01-02,01:37,스팸,Gorgeous Wife Rides 18 African Hammers,없음
2023-01-02,02:33,스팸,Looking for a Distributor,없음
2023-01-02,02:34,스팸,You Have Been Selected for Inclusion,없음
2023-01-02,02:48,스팸,Learning music at an early age promotes brain development,없음
2023-01-02,03:26,스팸,Men Drugs Shop,없음
2023-01-02,03:26,스팸,Canadian Online Meds,없음
2023-01-02,03:51,스팸,최고의 무동력 냉방제습장치를 아시나요?,없음
2023-01-02,04:13,스팸,香港進口大陸，客戶正規交稅，拼車費低至 2.0RMB/KG,없음
2023-01-02,04:54,스팸,Teen Stuck in Below Zero Temps - How He Survived,없음
2023-01-02,05:20,스팸,Breaking! Harvard Study - This common vitamin spikes blood sugar...,없음
2023-01-02,05:25,스팸,온도/습도제어 이젠 걱정하지 마세요~!,없음
2023-01-02,05:36,스팸,SpamCop Abuse Report,없음
2023-01-02,06:30,스팸,"尹 대통령, 새해 산업 키워드 ‘수출·창업’ [굿모닝KITA]",없음
2023-01-02,06:42,스팸,邮件群发软件---不限制群发额度---加Q可以测试3天群发,없음
2023-01-02,06:59,스팸,지불 기다림,없음
