번호,제조사,모델명,연식,주행거리,가격
0,KG모빌리티(쌍용),G4 렉스턴 디젤 2.2 4WD 유라시아 에디션,18/05식,"53,245km","1,750만원"
1,지프,랭글러 (JL) 2.0 루비콘 파워 탑 4도어,23/10식,"6,977km","5,590만원"
2,제네시스,GV80 2.5T 가솔린 AWD,23/03식,"24,766km","6,490만원"
3,기아,더 뉴 K9 2세대 3.8 GDI 플래티넘,21/07식(22년형),"58,044km","3,460만원"
4,르노코리아(삼성),XM3 1.3 TCe RE 시그니처,20/03식,"20,792km","1,700만원"
5,르노코리아(삼성),SM5 노바 클래식,16/11식(17년형),"72,307km",669만원
6,현대,아이오닉5 롱레인지 익스클루시브,21/10식(22년형),"46,149km","2,830만원"
7,도요타,알파드 4세대 AWD,24/11식,"2,348km","12,550만원"
8,BMW,3시리즈 (G20) 320d M 스포츠,23/06식,"24,430km","9,999만원"
9,아우디,Q8 (4M) 45 TDI 콰트로 프리미엄,21/07식,"55,715km","8,600만원"
10,기아,모닝 어반 (JA) 프레스티지,21/06식,"42,904km","1,150만원"
11,기아,올 뉴 K3 프레스티지,20/11식(21년형),"81,298km","1,279만원"
12,기아,카니발 4세대 9인승 노블레스,21/06식,"42,643km","3,050만원"
13,기아,더 뉴 레이 스탠다드,22/06식,"89,357km",980만원
14,현대,더 뉴 싼타페 디젤 2.2 4WD 프리미엄,21/04식,"90,607km","2,450만원"
15,기아,더 뉴 카니발 9인승 프레스티지,20/01식,"43,769km","2,090만원"
16,현대,팰리세이드 가솔린 3.8 4WD 프레스티지,21/11식(22년형),"53,182km","2,950만원"
17,현대,더 뉴 그랜드 스타렉스 어린이보호차,18/10식(19년형),"62,310km","1,590만원"
18,현대,더 뉴 그랜저 IG 2.5 익스클루시브,21/03식,"55,130km","2,790만원"
19,벤츠,C-클래스 W205 C200 아방가르드,18/02식,"28,256km","2,590만원"
20,르노코리아(삼성),QM6 디젤 4WD LE,16/10식(17년형),"54,406km","1,230만원"
21,포드,익스페디션 플래티넘 4WD 7인승,21/10식,"87,736km","4,790만원"
22,현대,팰리세이드 가솔린 3.8 4WD 캘리그래피,20/11식(21년형),"44,325km","2,990만원"
23,현대,더 뉴 그랜드 스타렉스 밴 3인승 스타일,21/03식,"95,512km","1,570만원"
24,BMW,X5M (G05) 4.4 컴페티션,21/05식,"47,715km","10,350만원"
25,미니,쿠퍼 5도어 클래식 3세대,23/10식(24년형),"3,248km","2,925만원"
26,아우디,A7 (4K) 55 TFSI 콰트로 프리미엄,20/08식,"65,231km","5,195만원"
27,BMW,X7 (G07) xDrive 40d 디자인 퓨어 엑셀런스 6인승,23/08식(24년형),"11,934km","11,795만원"
28,벤츠,E-클래스 W214 E300 4MATIC AMG Line,25/04식,"1,682km","9,750만원"
29,벤츠,E-클래스 W214 AMG E53e 4MATIC+,25/05식,451km,"14,350만원"
30,기아,카니발 4세대 9인승 시그니처,21/06식,"48,167km","3,789만원"
31,르노코리아(삼성),더 뉴 QM6 2.0 LPe RE 2WD,21/08식,"90,607km","1,580만원"
32,기아,K8 3.5 LPG 2WD 트렌디(렌터카),21/12식(22년형),"66,639km","2,170만원"
33,기아,더 뉴 쏘렌토 디젤 2.0 2WD 마스터,19/06식(20년형),"65,442km","2,099만원"
34,현대,쏘나타 (DN8) 1.6 터보 프리미엄 패밀리,19/11식(20년형),"90,818km","1,780만원"
35,현대,쏘나타 (DN8) 2.0 프리미엄 패밀리,19/06식(20년형),"73,812km","1,770만원"
36,제네시스,G80 (RG3) 가솔린 3.5 터보 AWD,21/04식,"39,528km","7,719만원"
37,기아,올 뉴 K7 하이브리드 노블레스 스페셜,19/04식,"76,541km","2,050만원"
38,기아,셀토스 디젤 1.6 2WD 프레스티지,19/08식(20년형),"106,048km","1,460만원"
39,현대,그랜저 IG 2.4 프리미엄,18/05식(19년형),"98,064km","1,560만원"
40,현대,더 뉴 그랜드 스타렉스 어린이보호차,20/10식(21년형),"35,019km","2,270만원"
41,현대,더 뉴 아반떼 (CN7) 1.6 인스퍼레이션 N Line,24/09식(25년형),"9,310km","2,490만원"
42,현대,팰리세이드 디젤 2.2 2WD 캘리그래피,21/04식,"82,986km","3,399만원"
43,현대,더 뉴 싼타페 가솔린 2.5T 2WD 익스클루시브,23/07식,"15,200km","2,799만원"
44,현대,스타리아 카고 3인승 모던,22/01식,"113,704km","2,099만원"
45,현대,스타리아 2WD 어린이보호차 14인승,23/02식,"15,319km","3,399만원"
46,현대,코나 1.6 터보 4WD 프리미엄,20/07식,"111,916km","1,490만원"
47,현대,아반떼 AD 1.6 GDI 밸류 플러스,17/07식(18년형),"17,780km","1,199만원"
48,제네시스,G80 (RG3) 가솔린 2.5 터보 AWD,21/04식,"112,081km","3,330만원"
49,현대,더 뉴 싼타페 디젤 2.2 2WD 프레스티지,22/08식,"63,621km","2,740만원"
50,기아,카니발 4세대 9인승 프레스티지,21/06식,"102,455km","2,340만원"
51,기아,쏘렌토 4세대 디젤 2.2 2WD 프레스티지,21/07식,"75,610km","2,650만원"
52,기아,더 뉴 K5 2세대 1.6 터보 노블레스,19/02식,"75,482km","1,399만원"
53,기아,카니발 4세대 가솔린 9인승 노블레스,21/01식,"57,726km","2,799만원"
54,기아,더 뉴 K3 2세대 1.6 트렌디,21/05식(22년형),"96,302km","1,270만원"
55,현대,아반떼 하이브리드 (CN7) 스마트,21/03식,"120,366km","1,399만원"
56,기아,더 뉴 니로 1.6 HEV 프레스티지,20/08식,"38,659km","1,870만원"
57,제네시스,G70 2.0T AWD 슈프림,17/10식(18년형),"85,426km","1,950만원"
58,현대,더 뉴 그랜드 스타렉스 웨건 12인승 스마트,19/06식,"45,941km","1,850만원"
59,기아,더 뉴 카니발 가솔린 9인승 노블레스 스페셜,19/07식,"81,409km","2,050만원"
60,현대,더 뉴 그랜저 IG 하이브리드 프리미엄,22/10식(23년형),"83,045km","2,540만원"
61,렉서스,뉴 ES300h 슈프림 XV60,18/03식,"57,086km","2,790만원"
62,제네시스,G70 2.0T 엘리트,20/07식,"108,123km","2,099만원"
63,현대,더 뉴 그랜저 IG 2.5 익스클루시브,22/11식(23년형),"34,467km","2,740만원"
64,현대,그랜저 IG 하이브리드 프리미엄,19/10식,"115,659km","1,620만원"
65,기아,카니발 4세대 9인승 프레스티지,22/05식(23년형),"91,732km","9,750만원"
66,기아,K5 3세대 2.0 LPI(렌터카용) 스탠다드,22/03식,"67,915km","1,620만원"
67,현대,쏘나타 (DN8) 2.0 모던,22/03식,"82,459km","1,570만원"
68,기아,스포티지 5세대 하이브리드 노블레스 2WD,22/12식(23년형),"66,707km","2,999만원"
69,르노코리아(삼성),뉴QM3 RE 시그니쳐,17/09식(18년형),"27,190km","1,070만원"
70,벤츠,A-클래스 W177 A220 세단,20/05식,"28,002km","2,550만원"
71,폭스바겐,티구안 2세대 2.0 TDI 프리미엄,20/04식,"29,762km","2,380만원"
72,기아,더 K9 3.8 GDI AWD 플래티넘Ⅱ,20/02식,"112,276km","2,480만원"
73,KG모빌리티(쌍용),뷰티풀 코란도 가솔린 1.5 2WD C5 플러스,20/09식(21년형),"38,553km","1,730만원"
74,BMW,5시리즈 (G30) 520i 럭셔리,18/11식,"96,217km","2,390만원"
75,현대,더 뉴 그랜드 스타렉스 어린이보호차 LPi,20/05식,"74,762km","2,380만원"
76,벤츠,GLB-클래스 X247 GLB220,21/06식,"45,344km","3,840만원"
77,벤츠,E-클래스 W213 E200 아방가르드,18/03식,"56,723km","2,570만원"
78,벤츠,E-클래스 W213 E220d 아방가르드,17/02식,"56,928km","2,570만원"
79,쉐보레(GM대우),더 넥스트 스파크 LTZ,16/06식(17년형),"83,848km",570만원
80,르노코리아(삼성),QM6 디젤 2WD RE 시그니처,17/11식,"118,680km","1,090만원"
81,쉐보레(GM대우),올 뉴 말리부 1.5 터보 LTZ,17/08식,"122,890km","1,010만원"
82,기아,올 뉴 모닝 (JA) 럭셔리,19/03식,"28,447km",930만원
83,르노코리아(삼성),SM6 1.6 TCe RE,17/09식,"93,487km",920만원
84,르노코리아(삼성),SM3 네오 SE,19/04식,"70,375km",730만원
85,르노코리아(삼성),더 뉴 QM6 2.0 LPe LE 2WD,20/02식,"90,815km","1,460만원"
86,기아,레이 밴 고급형,17/03식,"95,438km",610만원
87,현대,그랜저 IG 2.4 프리미엄,19/11식,"70,608km","1,850만원"
88,르노코리아(삼성),XM3 1.3 TCe LE,20/05식,"70,916km","1,260만원"
89,쉐보레(GM대우),올란도 LPG LS 고급형,17/10식(18년형),"85,987km",650만원
90,기아,K5 3세대 2.0 LPI(렌터카용) 트렌디,20/03식,"95,951km","1,570만원"
91,현대,팰리세이드 가솔린 3.8 2WD 프레스티지,19/04식,"84,265km","2,420만원"
92,벤츠,E-클래스 W213 E200 아방가르드,17/11식(18년형),"38,640km","2,620만원"
93,벤츠,GLS-클래스 X166 GLS500 4MATIC,17/11식,"82,656km","4,420만원"
94,쉐보레(GM대우),이쿼녹스 2WD LT,18/06식,"77,062km","1,229만원"
95,현대,더 뉴 그랜드 스타렉스 어린이보호차,18/12식(19년형),"42,199km","2,120만원"
96,현대,더 뉴 팰리세이드 디젤 2.2 4WD 캘리그래피,23/06식,"33,087km","5,190만원"
97,기아,카니발 4세대 9인승 시그니처,21/01식,"115,224km","2,499만원"
98,랜드로버,디스커버리 스포츠 2.0 TD4 SE (150마력),18/12식(19년형),"96,088km","1,499만원"
99,현대,싼타페 TM 디젤 2.0 2WD 익스클루시브,18/09식(19년형),"87,551km","1,699만원"
100,현대,벨로스터 (JS) 2.0 N,20/03식,"87,646km","1,570만원"
101,기아,더 뉴 카니발 4세대 HEV 9인승 시그니처,24/02식,"26,206km","2,680만원"
102,현대,그랜저 IG 3.0 LPi 모던 (렌터카),17/06식(18년형),"96,876km","1,620만원"
103,테슬라,모델 3 롱 레인지,21/09식,"44,234km","3,420만원"
104,BMW,X1 (F48) xDrive 20d,16/07식,"95,322km","1,520만원"
105,현대,더 뉴 팰리세이드 디젤 2.2 4WD 캘리그래피,23/05식,"48,283km","4,720만원"
106,KG모빌리티(쌍용),코란도 투리스모 4WD 샤토 9인승 하이 루프,16/12식(17년형),"92,927km","1,270만원"
107,벤츠,GLC-클래스 X253 GLC220 d 4MATIC,18/04식,"99,783km","2,420만원"
108,벤츠,GLE-클래스 W166 GLE350 d 4MATIC,16/06식,"97,793km","2,879만원"
109,기아,더 뉴 쏘렌토 디젤 2.2 4WD 마스터,18/11식(19년형),"85,260km","2,180만원"
110,KG모빌리티(쌍용),뉴 스타일 코란도 C 2.2 RX 2WD 고급형,17/12식(18년형),"77,523km",839만원
111,제네시스,GV70 2.5T 가솔린 AWD,24/02식,"4,808km","5,450만원"
112,제네시스,GV70 2.2 디젤 2WD,23/02식,"69,770km","4,490만원"
113,현대,더 뉴 그랜저 IG 하이브리드 익스클루시브,21/11식(22년형),"19,473km","3,170만원"
114,현대,그랜저 IG 하이브리드 익스클루시브 스페셜,17/08식(18년형),"83,289km","2,250만원"
115,현대,더 뉴 그랜저 IG 2.5 프리미엄,20/09식,"9,920km","2,750만원"
116,기아,쏘렌토 4세대 디젤 2.2 4WD 노블레스,20/06식(21년형),"79,964km","2,850만원"
117,현대,그랜저 하이브리드 (GN7) 캘리그래피,23/06식,"22,125km","4,050만원"
118,벤츠,V-클래스 2.0 W447,20/11식,"34,865km","5,190만원"
119,현대,올 뉴 투싼 디젤 1.6 4WD 프리미엄,19/01식,"60,313km","1,690만원"
120,현대,그랜저 하이브리드 (GN7) 캘리그래피,23/06식,"18,601km","4,390만원"
121,혼다,CR-V 5세대 1.5 EX-L 4WD,17/05식,"64,636km","2,290만원"
122,현대,아반떼 하이브리드 (CN7) 인스퍼레이션,22/06식(23년형),"56,095km","2,120만원"
123,현대,그랜저 하이브리드 (GN7) 캘리그래피,24/10식(25년형),"8,757km","4,790만원"
124,현대,그랜저 하이브리드 (GN7) 캘리그래피,23/05식,"40,192km","4,090만원"
125,기아,더 뉴 쏘렌토 디젤 2.2 2WD 마스터,19/02식,"75,196km","2,290만원"
126,기아,더 뉴 카니발 7인승 리무진 프레지던트,19/03식,"82,358km","2,190만원"
127,제네시스,GV80 2.5T 가솔린 AWD,23/06식,"30,114km","6,090만원"
128,도요타,시에나 4세대 2.5 하이브리드 2WD,23/04식,"2,746km","5,890만원"
129,기아,모하비 더 마스터 디젤 3.0 4WD 7인승 마스터즈,20/01식,"75,601km","3,490만원"
130,혼다,CR-V 5세대 1.5 투어링 4WD,17/12식,"114,713km","2,290만원"
131,현대,팰리세이드 디젤 2.2 4WD 익스클루시브,20/06식(21년형),"118,817km","2,590만원"
132,BMW,5시리즈 (G30) 520i M 스포츠,20/08식,"87,269km","3,150만원"
133,제네시스,G80 3.3 GDI AWD 럭셔리,17/07식,"83,037km","1,830만원"
134,현대,쏘나타 (DN8) 2.0 LPG(렌터카용) 스마트,20/02식,"108,240km","1,430만원"
135,기아,카니발 4세대 가솔린 9인승 노블레스,21/06식,"46,851km","2,890만원"
136,현대,더 뉴 그랜저 IG 하이브리드 르블랑,21/07식(22년형),"64,832km","2,840만원"
137,현대,코나 디젤 1.6 2WD 모던,17/07식(18년형),"70,029km","1,230만원"
138,KG모빌리티(쌍용),렉스턴 스포츠 칸 디젤 2.2 4WD 프로페셔널 X (5링크),19/07식,"99,407km","1,730만원"
139,제네시스,G70 2.0T 스포츠 패키지,20/10식,"69,354km","2,550만원"
140,현대,올 뉴 투싼 디젤 1.7 2WD 모던,18/05식,"26,245km","1,750만원"
141,KG모빌리티(쌍용),더 뉴 렉스턴 스포츠 칸 디젤 2.2 4WD 익스페디션,22/08식,"30,987km","3,230만원"
142,쉐보레(GM대우),콜로라도 3.6 익스트림-X 4WD,20/05식,"42,781km","2,450만원"
143,현대,싼타페 TM 디젤 2.2 4WD 익스클루시브,19/02식,"127,675km","1,880만원"
144,기아,더 뉴 K5 하이브리드 2세대 노블레스,19/02식,"58,525km","1,880만원"
145,현대,아이오닉 하이브리드 N,18/09식(19년형),"118,467km","1,230만원"
146,현대,아반떼 (CN7) 1.6 모던,20/07식(21년형),"57,166km","1,450만원"
147,현대,더 뉴 그랜저 IG 2.5 프리미엄 초이스,20/01식,"68,178km","2,250만원"
148,기아,카니발 4세대 가솔린 7인승 시그니처,23/12식,"26,664km","3,980만원"
149,현대,쏘나타 하이브리드 (DN8) 인스퍼레이션,19/10식(20년형),"125,209km","2,080만원"
150,BMW,3시리즈 (F30) 320d,18/02식,"118,387km","1,580만원"
151,현대,투싼 하이브리드 (NX4) 인스퍼레이션 2WD,20/12식(21년형),"63,049km","2,880만원"
152,기아,셀토스 가솔린 1.6 터보 2WD 시그니처,21/06식(22년형),"51,018km","2,450만원"
153,르노코리아(삼성),XM3 1.3 TCe RE 시그니처,20/06식,"46,403km","1,520만원"
154,르노코리아(삼성),XM3 1.3 TCe RE,20/06식,"26,685km","1,470만원"
155,기아,더 뉴 카니발 9인승 노블레스 스페셜,18/09식(19년형),"129,876km","1,900만원"
156,현대,더 뉴 아반떼 (CN7) 1.6 모던,23/06식(24년형),"93,025km","1,680만원"
157,기아,쏘렌토 4세대 HEV 1.6 2WD 그래비티,21/06식,"25,429km","3,700만원"
158,기아,K8 3.5 LPG 2WD 트렌디(렌터카),21/05식(22년형),"58,013km","2,350만원"
159,현대,그랜저 하이브리드 (GN7) 익스클루시브,24/03식,"18,187km","4,350만원"
160,현대,코나 1.6 터보 2WD 모던 팝,18/08식,"86,802km","1,330만원"
161,현대,코나 1.6 터보 2WD 모던,17/12식(18년형),"137,358km","1,280만원"
162,현대,더 뉴 싼타페 디젤 2.2 2WD 프레스티지,20/10식(21년형),"66,165km","2,980만원"
163,제네시스,G90 3.8 AWD 럭셔리,20/07식,"102,212km","3,580만원"
164,제네시스,GV80 2.5T 가솔린 AWD,24/01식,"12,959km","8,150만원"
165,기아,카니발 4세대 9인승 프레스티지,21/03식,"94,869km","2,380만원"
166,현대,그랜저 (GN7) 2.5 가솔린 2WD 프리미엄,23/04식,"44,407km","3,250만원"
167,현대,그랜저 (GN7) 2.5 가솔린 2WD 프리미엄,23/02식,"41,052km","3,050만원"
168,현대,그랜저 (GN7) 2.5 가솔린 2WD 프리미엄,23/07식,"24,899km","2,980만원"
169,제네시스,G80 (RG3) 가솔린 3.5 터보 AWD,23/06식,"32,179km","5,180만원"
170,르노코리아(삼성),뉴QM3 LE,18/01식,"139,904km",700만원
171,현대,싼타페 TM 가솔린 2.0T 2WD 익스클루시브,20/01식,"29,418km","2,450만원"
172,쉐보레(GM대우),트레일블레이저 1.3 터보 4WD RS,20/04식(21년형),"69,688km","1,850만원"
173,도요타,시에나 3.5 AWD,17/03식,"76,463km","2,120만원"
174,기아,쏘렌토 4세대 HEV 1.6 4WD 그래비티,23/04식,"23,785km","4,480만원"
175,기아,더 뉴 K5 하이브리드 3세대 프레스티지,24/05식,"25,137km","9,999만원"
176,현대,아반떼 (CN7) 1.6 모던,20/08식(21년형),"89,105km","1,480만원"
177,현대,쏘나타 하이브리드 (DN8) 프리미엄 패밀리,19/08식(20년형),"100,225km","1,730만원"
178,벤츠,A-클래스 W177 A220 세단,24/05식,"10,378km","3,580만원"
179,현대,더 뉴 코나 가솔린 2.0 2WD 인스퍼레이션,21/03식,"72,751km","1,930만원"
180,기아,더 뉴 레이 럭셔리,20/07식,"91,983km","1,050만원"
181,KG모빌리티(쌍용),더 뉴 렉스턴 스포츠 디젤 2.2 4WD 프레스티지,21/06식,"84,338km","2,250만원"
182,기아,K5 3세대 1.6 터보 프레스티지,20/01식,"122,489km","1,730만원"
183,기아,K8 3.5 LPG 2WD 트렌디(렌터카),22/01식,"71,005km","2,150만원"
184,현대,아반떼 AD 1.6 GDI 밸류 플러스,17/05식,"44,840km","1,240만원"
185,현대,아반떼 (CN7) 1.6 스마트,22/03식,"29,695km","1,600만원"
186,현대,더 뉴 그랜저 IG 3.0 LPi (렌터카용) 프리미엄,20/04식,"121,423km","1,930만원"
187,제네시스,GV70 2.5T 가솔린 AWD,21/02식,"56,656km","4,290만원"
188,기아,더 뉴 카니발 9인승 프레스티지,18/06식(19년형),"74,635km","1,790만원"
189,기아,더 뉴 K3 2세대 1.6 시그니처,21/09식(22년형),"53,063km","2,020만원"
